10:25:36.026Z, Subsystem Time =2018-10-23T10:25:36.026Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.334Z, Assembly Time=2018-10-23T10:25:36.334Z, HCD Time=2018-10-23T10:25:36.335Z, Subsystem Time =2018-10-23T10:25:36.335Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.340Z, Assembly Time=2018-10-23T10:25:36.340Z, HCD Time=2018-10-23T10:25:36.340Z, Subsystem Time =2018-10-23T10:25:36.340Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.345Z, Assembly Time=2018-10-23T10:25:36.345Z, HCD Time=2018-10-23T10:25:36.345Z, Subsystem Time =2018-10-23T10:25:36.345Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.350Z, Assembly Time=2018-10-23T10:25:36.350Z, HCD Time=2018-10-23T10:25:36.350Z, Subsystem Time =2018-10-23T10:25:36.350Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.355Z, Assembly Time=2018-10-23T10:25:36.355Z, HCD Time=2018-10-23T10:25:36.356Z, Subsystem Time =2018-10-23T10:25:36.356Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.361Z, Assembly Time=2018-10-23T10:25:36.361Z, HCD Time=2018-10-23T10:25:36.361Z, Subsystem Time =2018-10-23T10:25:36.361Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.366Z, Assembly Time=2018-10-23T10:25:36.366Z, HCD Time=2018-10-23T10:25:36.367Z, Subsystem Time =2018-10-23T10:25:36.367Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.372Z, Assembly Time=2018-10-23T10:25:36.372Z, HCD Time=2018-10-23T10:25:36.372Z, Subsystem Time =2018-10-23T10:25:36.372Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.377Z, Assembly Time=2018-10-23T10:25:36.377Z, HCD Time=2018-10-23T10:25:36.377Z, Subsystem Time =2018-10-23T10:25:36.377Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.382Z, Assembly Time=2018-10-23T10:25:36.382Z, HCD Time=2018-10-23T10:25:36.382Z, Subsystem Time =2018-10-23T10:25:36.382Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.387Z, Assembly Time=2018-10-23T10:25:36.387Z, HCD Time=2018-10-23T10:25:36.388Z, Subsystem Time =2018-10-23T10:25:36.388Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.393Z, Assembly Time=2018-10-23T10:25:36.393Z, HCD Time=2018-10-23T10:25:36.393Z, Subsystem Time =2018-10-23T10:25:36.393Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.398Z, Assembly Time=2018-10-23T10:25:36.398Z, HCD Time=2018-10-23T10:25:36.398Z, Subsystem Time =2018-10-23T10:25:36.398Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.403Z, Assembly Time=2018-10-23T10:25:36.403Z, HCD Time=2018-10-23T10:25:36.404Z, Subsystem Time =2018-10-23T10:25:36.404Z, Client to HCD duration = 1ms, Client to Subsystem Duration = 1ms, Assembly to HCD duration = 1ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.409Z, Assembly Time=2018-10-23T10:25:36.409Z, HCD Time=2018-10-23T10:25:36.409Z, Subsystem Time =2018-10-23T10:25:36.409Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.414Z, Assembly Time=2018-10-23T10:25:36.414Z, HCD Time=2018-10-23T10:25:36.414Z, Subsystem Time =2018-10-23T10:25:36.414Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.419Z, Assembly Time=2018-10-23T10:25:36.419Z, HCD Time=2018-10-23T10:25:36.419Z, Subsystem Time =2018-10-23T10:25:36.419Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.425Z, Assembly Time=2018-10-23T10:25:36.425Z, HCD Time=2018-10-23T10:25:36.425Z, Subsystem Time =2018-10-23T10:25:36.425Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
Event=Demand Position , Base=68.17137732445275, Cap=137.9099253051096, Pointing Kernel Time=2018-10-23T10:25:36.430Z, Assembly Time=2018-10-23T10:25:36.430Z, HCD Time=2018-10-23T10:25:36.430Z, Subsystem Time =2018-10-23T10:25:36.430Z, Client to HCD duration = 0ms, Client to Subsystem Duration = 0ms, Assembly to HCD duration = 0ms
