PK publish timeStamp(t0),Assembly receive timeStamp(t1),HCD receive timeStamp(t2),Simulator receive timeStamp(t3)
2018-12-27T11:04:14.823718, 2018-12-27T11:04:19.120203, 2018-12-27T11:04:19.124301, 2018-12-27T11:04:19.124345
2018-12-27T11:04:14.836331, 2018-12-27T11:04:19.120238, 2018-12-27T11:04:19.124305, 2018-12-27T11:04:19.124390
2018-12-27T11:04:14.846991, 2018-12-27T11:04:19.120271, 2018-12-27T11:04:19.124308, 2018-12-27T11:04:19.124412
2018-12-27T11:04:14.858901, 2018-12-27T11:04:19.120302, 2018-12-27T11:04:19.124311, 2018-12-27T11:04:19.124431
2018-12-27T11:04:14.873113, 2018-12-27T11:04:19.127173, 2018-12-27T11:04:19.127761, 2018-12-27T11:04:19.127784
2018-12-27T11:04:14.884901, 2018-12-27T11:04:19.159790, 2018-12-27T11:04:19.161033, 2018-12-27T11:04:19.161075
2018-12-27T11:04:14.901178, 2018-12-27T11:04:19.167415, 2018-12-27T11:04:19.167989, 2018-12-27T11:04:19.168018
2018-12-27T11:04:14.911311, 2018-12-27T11:04:19.197337, 2018-12-27T11:04:19.198281, 2018-12-27T11:04:19.198414
2018-12-27T11:04:14.923501, 2018-12-27T11:04:19.211991, 2018-12-27T11:04:19.212432, 2018-12-27T11:04:19.212452
2018-12-27T11:04:14.934479, 2018-12-27T11:04:19.231885, 2018-12-27T11:04:19.232340, 2018-12-27T11:04:19.232359
2018-12-27T11:04:14.946677, 2018-12-27T11:04:19.237255, 2018-12-27T11:04:19.238454, 2018-12-27T11:04:19.238484
2018-12-27T11:04:14.957601, 2018-12-27T11:04:19.243823, 2018-12-27T11:04:19.244193, 2018-12-27T11:04:19.244213
2018-12-27T11:04:14.970464, 2018-12-27T11:04:19.252143, 2018-12-27T11:04:19.253119, 2018-12-27T11:04:19.253134
2018-12-27T11:04:14.981638, 2018-12-27T11:04:19.258336, 2018-12-27T11:04:19.258880, 2018-12-27T11:04:19.258909
2018-12-27T11:04:14.992623, 2018-12-27T11:04:19.261900, 2018-12-27T11:04:19.262358, 2018-12-27T11:04:19.262382
2018-12-27T11:04:15.003330, 2018-12-27T11:04:19.275495, 2018-12-27T11:04:19.277401, 2018-12-27T11:04:19.277431
2018-12-27T11:04:15.017754, 2018-12-27T11:04:19.281359, 2018-12-27T11:04:19.282125, 2018-12-27T11:04:19.282153
2018-12-27T11:04:15.028457, 2018-12-27T11:04:19.290959, 2018-12-27T11:04:19.291299, 2018-12-27T11:04:19.291323
2018-12-27T11:04:15.038829, 2018-12-27T11:04:19.295993, 2018-12-27T11:04:19.297313, 2018-12-27T11:04:19.297337
2018-12-27T11:04:15.049308, 2018-12-27T11:04:19.308698, 2018-12-27T11:04:19.310202, 2018-12-27T11:04:19.310235
2018-12-27T11:04:15.060396, 2018-12-27T11:04:19.314124, 2018-12-27T11:04:19.314507, 2018-12-27T11:04:19.314526
2018-12-27T11:04:15.071231, 2018-12-27T11:04:19.318287, 2018-12-27T11:04:19.318749, 2018-12-27T11:04:19.318777
2018-12-27T11:04:15.084023, 2018-12-27T11:04:19.327732, 2018-12-27T11:04:19.328218, 2018-12-27T11:04:19.328246
2018-12-27T11:04:15.095285, 2018-12-27T11:04:19.330502, 2018-12-27T11:04:19.331038, 2018-12-27T11:04:19.331067
2018-12-27T11:04:15.108219, 2018-12-27T11:04:19.334418, 2018-12-27T11:04:19.335276, 2018-12-27T11:04:19.335299
2018-12-27T11:04:15.119148, 2018-12-27T11:04:19.339189, 2018-12-27T11:04:19.339677, 2018-12-27T11:04:19.339702
2018-12-27T11:04:15.131347, 2018-12-27T11:04:19.343296, 2018-12-27T11:04:19.343815, 2018-12-27T11:04:19.343843
2018-12-27T11:04:15.187870, 2018-12-27T11:04:19.349765, 2018-12-27T11:04:19.350272, 2018-12-27T11:04:19.350302
2018-12-27T11:04:15.188402, 2018-12-27T11:04:19.354571, 2018-12-27T11:04:19.355121, 2018-12-27T11:04:19.355144
2018-12-27T11:04:15.188509, 2018-12-27T11:04:19.358729, 2018-12-27T11:04:19.359380, 2018-12-27T11:04:19.359444
2018-12-27T11:04:15.189478, 2018-12-27T11:04:19.361730, 2018-12-27T11:04:19.362207, 2018-12-27T11:04:19.362235
2018-12-27T11:04:15.194469, 2018-12-27T11:04:19.364713, 2018-12-27T11:04:19.365151, 2018-12-27T11:04:19.365170
2018-12-27T11:04:15.208470, 2018-12-27T11:04:19.383565, 2018-12-27T11:04:19.384128, 2018-12-27T11:04:19.384156
